,title,company_name,location,salary_avg,salary_min,salary_max
0,Lead-Data Analyst,Edward Jones,"Sweet Springs, MO",144481.5,106916.0,182047.0
1,"Sr. Data Analyst, Operations Data",Virgin Galactic,United States,,,
2,Lead-Data Analyst,EDWARD JONES,"Meta, MO",144481.5,106916.0,182047.0
3,Data Analyst - Telecommute,UnitedHealth Group,United States,,,
5,Data Analyst I (Healthcare Analytics),Corporate 3.7★,Missouri,,,
6,Lead-Data Analyst. Job in Missouri My Valley Jobs Today,EDWARD JONES,"St James, MO",144481.5,106916.0,182047.0
7,Data Analyst (Risk Adjustment Consulting Research Analyst),"Cambia Health Solutions, Inc",United States,,,
8,DATA ANALYST II,Lumen,United States,,,
9,Data Analyst,Morson Talent,United States,,,
10,Data Analyst - Swisslog,Swisslog,United States,,,
12,Data Analyst / Bioinformatics Specialist,Naturejobs,"Oklahoma City, OK",,,
13,Collections Data Analyst (921071),Purpose Financial,United States,,,
14,Data Analyst / Bioinformatics Specialist,Oklahoma Medical Research Foundation (OMRF),United States,,,
15,Problem Management Business Data Analyst Intern,Centene Corporation,"Jefferson City, MO",,,
16,Data Analyst - Fully Remote,Brigham & Women's Hospital(BWH),United States,25.0,,
18,Data Analyst,Itero Group,United States,,,
19,Healthcare Data Analyst II (Hybrid - Boston),UMass Med School,United States,,,
20,Sr Data Analyst (SQL/PowerBI) [Remote],Braintrust,"Kansas City, MO",,,
21,Health Data Analyst Associate - Temp to Hire,Nuna,United States,,,
22,Data Analyst,UBS,United States,,,
23,Data Analyst V,"2,468 reviews",United States,,,
24,Healthcare Data Analyst - Employee Benefits (Diversified Insurance),"The IMA Financial Group, Inc.",United States,,,
25,Senior Learning Experience Data Analyst,Houghton Mifflin Harcourt,United States,,,
26,"Data Analyst, Space Operations Data",Virgin Galactic,United States,,,
27,Data Analyst - Swisslog,Swisslog,United States,,,
28,Lead Data Analyst,EDWARD JONES,"Odessa, MO",,,
29,Data Analyst,State of Oklahoma,"Oklahoma City, OK",,,
31,Market Research Data Analyst,Harnham,United States,70.0,60.0,80.0
32,Data Analyst IV,Corporate,"Columbia, MO",,,
33,Data Analyst,Millennium Space Systems,United States,,,
34,Data Analyst,TTM Technologies - North America,United States,,,
35,Senior Data Analyst (Manager),Tyson Foods,"Springdale, AR",,,
36,Data Analyst,7 reviews,United States,,,
37,Data Analyst,EquipmentShare,"Sun City, KS",,,
38,Sales Data Analyst,Salon Service Group,"Springfield, MO",,,
39,Senior Transportation Data Analyst - Remote,HARBOR FREIGHT TOOLS,United States,,,
40,"Data Analyst, Space Operations Data",Virgin Galactic,United States,,,
41,"Data Analyst, Pediatric Gastroenterology",Indiana University,United States,,,
42,Data Analyst II (Healthcare Analytics),Corporate,"Jefferson City, MO",,,
43,"Data Quality Analyst - Experian Health - Strong SQL experience, QA...",Experian,United States,,,
44,Lead Data Analyst,EDWARD JONES,"Centralia, MO",,,
